respondent,bususefrequency,age,gender,bicycleuse,bikeuse,caruse,bususe,walking,BT1,BT2,BT3,BT4,BT5,BT6,BT7,BD1,BD2,BD3,BD4,BCM1,BCM2,BCM3,BCM4,BTER1,BTER2,BTER3,BTER4,BTER5,EMP1,EMP2,EMP3,EMP4,EMP5,CS1,CS2,CS3,PV1,PV2,PV3,WOM1,WOM2,WOM3,EP1,EP2,EP3,EP4,SQcomparison,LS1,LS2,LS3,LS4,LS5,weather
139,1,20,0,5,1,1,2,2,6,6,5,5,4,6,6,6,7,4,4,6,4,2,3,2,5,5,6,3,5,6,2,2,5,6,6,6,6,5,1,3,5,1,7,6,7,2,3,6,6,7,7,6,January
140,1,19,0,1,1,5,2,3,4,3,6,6,3,4,6,6,6,6,6,6,6,6,6,5,7,3,6,6,5,6,6,6,6,6,6,6,4,4,2,6,6,6,7,7,7,7,3,5,7,7,5,6,January
141,4,20,1,3,1,1,5,4,5,6,7,7,6,6,5,6,5,5,5,7,6,5,5,5,4,5,5,4,5,6,4,6,4,7,7,7,6,4,6,4,7,7,7,7,7,7,3,5,7,7,6,4,January
142,3,22,1,1,1,4,3,4,6,6,4,5,5,7,7,6,6,5,4,7,7,5,5,6,7,4,4,7,6,4,6,5,6,6,6,6,5,4,5,4,5,5,6,6,6,6,2,5,5,5,5,5,January
143,2,21,1,5,1,1,3,5,7,7,7,5,4,6,3,5,5,6,4,4,5,5,5,5,5,2,5,3,5,5,3,4,2,4,4,4,4,5,2,5,5,5,5,5,6,7,1,6,5,6,4,2,January
144,2,19,1,1,1,1,4,5,7,7,7,7,7,7,7,6,7,4,7,3,4,5,5,7,7,4,4,5,6,6,6,6,6,6,5,6,5,5,6,6,5,6,7,7,7,7,3,6,6,6,6,6,January
145,4,22,1,1,1,2,5,5,6,6,4,4,6,4,3,4,5,4,4,5,4,3,5,5,7,5,5,6,6,6,6,4,2,5,5,6,5,6,6,5,6,6,6,6,6,6,2,5,5,5,5,5,January
146,4,23,0,1,1,1,3,5,5,4,4,5,3,6,4,5,5,7,5,5,5,5,4,5,3,5,6,5,5,5,4,4,5,5,5,6,5,5,6,5,4,1,5,5,5,5,3,5,7,7,4,5,January
147,4,19,1,3,1,1,5,4,6,6,4,4,4,3,6,4,7,6,5,5,3,4,6,6,5,4,4,1,3,4,3,3,3,3,3,4,2,1,4,3,4,4,3,3,3,3,2,3,3,4,5,5,January
148,1,19,1,1,1,1,3,3,6,6,6,6,5,6,3,6,7,5,3,3,1,1,3,6,5,5,5,6,3,4,4,2,4,5,4,6,2,2,5,1,5,1,6,6,5,5,3,2,2,4,1,2,January
149,4,22,0,1,1,2,4,2,4,3,3,7,4,6,4,4,6,3,4,1,4,4,1,6,4,1,4,2,1,4,6,2,4,5,5,4,5,3,3,5,3,4,3,3,7,4,3,6,7,7,7,7,January
150,4,21,1,1,1,1,4,5,4,2,5,4,3,4,2,3,3,2,2,3,2,3,4,5,5,1,4,6,3,3,5,1,2,3,3,3,2,2,4,4,4,3,6,5,2,4,2,4,4,4,4,4,January
151,1,26,1,1,1,4,1,3,6,6,6,6,6,6,6,6,6,6,6,7,5,6,6,5,7,5,6,6,5,6,5,5,5,5,5,5,5,4,1,4,4,2,7,7,7,7,2,6,6,6,5,5,January
152,4,21,0,1,1,1,5,3,4,4,2,2,3,4,3,5,6,4,5,6,5,4,6,5,6,5,6,7,7,7,5,6,5,6,5,6,4,3,6,4,4,4,6,5,4,4,2,5,6,7,6,6,January
153,4,19,1,1,1,3,5,5,3,3,3,7,1,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,6,3,4,4,3,3,3,4,3,4,3,2,2,3,4,3,3,January
154,4,19,1,2,4,4,5,5,5,5,4,4,4,4,4,5,5,5,5,6,5,4,4,6,6,6,6,6,5,4,4,4,4,4,4,4,6,6,6,6,5,6,6,6,6,6,3,5,5,5,5,5,January
155,4,19,1,2,1,2,3,2,4,3,6,3,3,5,6,3,4,3,4,4,4,3,3,3,3,1,3,2,3,2,4,3,4,4,3,3,4,2,1,5,3,4,4,4,4,3,2,4,4,6,2,5,January
156,4,22,0,1,1,3,3,1,5,5,4,6,5,7,6,4,6,6,5,6,5,4,4,4,5,5,5,6,5,5,5,3,6,5,5,6,3,3,5,3,5,4,3,5,4,4,2,4,5,4,4,2,January
157,1,19,1,1,1,4,2,4,5,5,5,5,5,7,7,6,5,6,6,6,6,6,6,5,1,3,4,4,3,5,2,2,3,4,3,3,2,2,2,4,4,4,4,5,5,5,3,5,5,7,5,5,January
158,2,19,1,2,1,1,3,5,5,4,5,5,7,5,6,7,7,6,7,7,7,6,7,5,6,5,6,7,6,6,6,6,6,6,6,6,2,1,2,4,5,4,5,5,5,5,2,4,7,5,7,1,January
